host_response_time,host_response_rate,host_acceptance_rate,host_total_listings_count,host_identity_verified,accommodates,bathrooms,bedrooms,beds,amenities,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month,distance_to_dam,has_metro
1,100,100,2.0,1,2,1.0,0.0,1.0,17,40.0,1,0.0,2,30,20,48,75,350,27,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,2,1,5.19,1.35428417007,0
2,86,67,1.0,1,2,1.0,1.0,1.0,13,50.0,2,0.0,2,30,4,4,4,4,7,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1,1,0.58,1.40979910329,0
4,0,0,1.0,1,4,1.0,2.0,2.0,14,40.0,4,25.0,2,20,0,0,0,0,7,91.0,10.0,9.0,10.0,10.0,9.0,9.0,1,0,1,0.31,2.49270172492,0
2,89,100,2.0,1,2,1.0,1.0,1.0,12,15.0,2,0.0,4,21,16,21,32,32,31,96.0,10.0,10.0,10.0,10.0,9.0,9.0,0,2,2,0.77,2.24621468533,1
2,100,100,1.0,0,4,1.0,1.0,2.0,12,35.0,4,0.0,2,30,0,0,0,12,4,90.0,9.0,10.0,9.0,9.0,9.0,9.0,0,1,1,0.56,3.61088591895,0
1,100,90,1.0,1,3,1.0,1.0,2.0,22,10.0,1,29.0,1,30,4,4,32,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0.0,7.39657195228,1
4,0,100,1.0,1,2,1.5,1.0,2.0,11,0,1,0.0,1,30,0,0,0,153,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,1.67256892191,0
1,100,100,2.0,0,4,1.0,0.0,2.0,12,20.0,2,20.0,1,30,0,0,0,184,105,91.0,9.0,10.0,9.0,9.0,10.0,9.0,1,0,2,3.94,0.67519751692,0
2,100,100,1.0,1,2,1.0,1.0,2.0,10,0,1,0.0,3,30,1,1,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0.0,1.13098099796,0
3,86,99,17.0,1,4,1.5,2.0,2.0,11,70.0,2,0.0,3,30,5,11,25,274,18,93.0,10.0,9.0,9.0,9.0,9.0,9.0,0,1,17,1.99,3.39915206808,0
2,100,100,2.0,1,2,1.0,1.0,1.0,6,25.0,2,0.0,7,30,0,4,5,101,17,91.0,9.0,9.0,10.0,10.0,9.0,9.0,0,2,2,0.48,3.98265284544,0
1,100,100,1.0,1,3,1.0,1.0,2.0,14,50.0,1,0.0,3,7,2,6,16,66,21,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,1,2.24,1.44527811532,0
1,100,0,1.0,0,5,1.0,2.0,2.0,14,50.0,4,50.0,3,30,18,21,21,21,40,97.0,10.0,9.0,10.0,10.0,9.0,9.0,0,2,1,1.81,3.09245077141,1
