,bathrooms,bedrooms,beds,accommodates,guests_included,distance_to_dam,distance_to_metro,review_scores_accuracy,review_scores_location,review_scores_value
9419,1.0,2.0,2.0,4,2,3.88482706442,0.960205185835,10.0,8.0,8.0
8244,1.0,1.0,1.0,2,1,2.59622221196,1.27774695187,10.0,9.0,9.0
9851,1.0,1.0,1.0,2,1,3.7537634414,1.26996895916,0.0,0.0,0.0
3646,1.0,1.0,1.0,1,1,3.24297879223,2.48785972248,9.0,9.0,9.0
7482,1.0,1.0,1.0,4,2,2.16761930145,1.50462889988,10.0,10.0,9.0
3700,1.0,1.0,1.0,3,2,1.32630161015,0.329508573515,10.0,10.0,10.0
12936,1.0,2.0,3.0,4,1,2.41984137282,1.40152170879,10.0,8.0,8.0
4983,1.5,1.0,1.0,2,1,1.60571681987,0.318805486038,10.0,10.0,10.0
8545,1.0,1.0,1.0,2,1,3.45239803431,0.99685903189,10.0,9.0,8.0
7292,1.0,1.0,2.0,2,1,7.09778883816,0.217982088175,0.0,0.0,0.0
0,1.0,1.0,2.0,2,1,7.95882398732,0.312029589327,9.0,8.0,8.0
821,1.0,2.0,2.0,4,2,5.04255412233,4.31389326736,0.0,0.0,0.0
10948,1.0,1.0,1.0,2,1,2.1982251062,2.32430187091,10.0,10.0,9.0
12645,1.0,1.0,1.0,2,1,2.30389797596,1.50927225909,0.0,0.0,0.0
13315,1.0,1.0,1.0,2,1,6.25816325419,2.45777002979,10.0,9.0,9.0
3058,1.0,1.0,2.0,4,1,3.48912856416,2.51783986555,0.0,0.0,0.0
8617,1.0,1.0,1.0,2,2,2.33301624444,0.416260427174,10.0,10.0,10.0
4073,1.0,2.0,2.0,4,1,1.49383678713,0.516256966265,8.0,10.0,7.0
10538,1.0,1.0,2.0,3,1,2.59644440508,1.32899059175,8.0,10.0,9.0
220,1.0,1.0,2.0,3,1,4.9391185479,4.15586743649,9.0,9.0,9.0
12647,1.0,1.0,1.0,2,1,2.18862628671,1.61370701788,10.0,10.0,10.0
12653,1.0,1.0,2.0,2,2,2.45011871389,1.38070400492,9.0,9.0,9.0
6635,1.0,1.0,1.0,2,1,1.77121545085,2.08823276794,10.0,10.0,7.0
8396,1.0,1.0,1.0,2,1,2.0998909592,0.626398637405,10.0,9.0,9.0
6453,1.5,2.0,2.0,4,1,1.95962699069,1.74288372281,0.0,0.0,0.0
12275,1.0,1.0,1.0,2,1,2.55623345434,1.87160766716,10.0,10.0,9.0
12831,1.0,1.0,1.0,2,1,2.82002571841,1.26570263176,10.0,9.0,9.0
6543,1.0,2.0,2.0,4,1,1.28142419477,1.72038119356,10.0,9.0,9.0
1423,1.0,1.0,1.0,4,2,0.970438862832,1.39317016299,9.0,10.0,9.0
12605,1.0,2.0,2.0,4,2,3.04337641494,1.02572301147,10.0,9.0,9.0
10588,1.0,1.0,1.0,3,1,2.17709450373,2.01241673614,0.0,0.0,0.0
12477,1.0,1.0,1.0,2,1,2.14081382501,1.79745437885,10.0,10.0,10.0
9329,2.0,2.0,2.0,4,2,3.76027327266,0.938151921683,10.0,10.0,10.0
5335,1.0,1.0,2.0,4,2,2.73013746806,0.366751042166,10.0,9.0,10.0
4896,1.0,1.0,1.0,2,1,1.15598229087,0.293291765629,9.0,9.0,9.0
13640,1.0,1.0,1.0,2,1,3.7357824144,0.416260468889,10.0,6.0,8.0
46,1.0,1.0,1.0,2,1,7.91513409743,0.398018422556,10.0,9.0,10.0
8258,1.0,2.0,2.0,3,3,3.57140982063,0.575248333687,9.0,9.0,9.0
7717,1.0,1.0,1.0,2,1,1.81487297354,0.931579477434,0.0,0.0,0.0
