"","x"
"2443",150
"2444",110
"2445",115
"2446",99
"2447",220
"2448",80
"2449",74
"2450",70
"2451",65
"2452",85
"2453",49
"2454",71
"2455",25
"2456",100
"2457",75
"2458",150
"2459",49
"2460",140
"2461",80
"2462",85
"2463",60
"2464",60
"2465",49
"2466",80
"2467",49
"2468",80
"2469",55
"2470",80
"2471",49
"2472",65
"2473",169
"2474",32
"2475",45
"2476",86
"2477",65
"2478",75
"2479",120
"2480",47
"2481",60
"2482",159
"2483",60
"2484",200
"2485",125
"2486",70
"2487",55
"2488",150
"2489",159
"2490",120
"2491",125
"2492",91
"2493",60
"2494",44
"2495",70
"2496",79
