"","bedrooms","distance_to_dam","accommodates","review_scores_communication","review_scores_location","host_response_time","bathrooms","beds","reviews_per_month","review_scores_value"
"12444",1,1.9804903836,4,9,10,1,1,2,2.83,8
"12445",0,2.37243915396,2,10,10,3,1,1,1,10
"12446",1,2.70501955376,2,10,10,1,1,1,2.38,9
"12447",1,2.41056339725,4,10,10,1,1,1,0.45,9
"12448",1,2.24661726192,2,10,10,2,1,2,2,9
"12449",1,2.46335666317,1,10,9,1,1,1,0.46,9
"12450",1,1.45415630354,2,10,10,1,1,1,1.28,10
"12451",1,1.96838749781,2,9,10,2,1,1,0.58,10
"12452",1,2.63021421778,2,10,10,1,1,1,1,8
"12453",2,2.1594950048,5,10,9,2,1.5,3,0.4,10
"12454",1,1.55752747747,2,10,10,2,1,1,0.8,9
"12455",1,3.01734729928,1,0,0,4,1,1,0,0
"12456",1,2.66326352537,4,10,10,2,1,2,1.92,9
"12457",2,2.96160916995,4,0,0,1,1,2,0,0
"12458",1,1.73083306392,2,10,10,3,1,1,0.51,9
"12459",2,2.27926238145,10,10,10,1,1,10,1,10
"12460",2,1.4782600539,4,0,0,1,1,2,0,0
"12461",1,2.03156616954,2,0,0,4,1,1,0,0
"12462",1,1.80705499406,2,10,10,1,1,2,5.48,10
"12463",1,1.93824467805,2,10,10,2,1,1,1.35,9
"12464",1,2.11069906143,2,0,0,3,1,1,0,0
"12465",0,2.82485189224,2,10,9,2,1,2,6.91,9
"12466",2,1.33111595573,4,10,10,1,1,4,1.51,10
"12467",2,2.43252321009,4,10,10,3,1,2,0.53,9
"12468",2,1.56098248537,4,10,10,1,1,2,1.03,9
"12469",3,2.52336282053,6,10,9,2,1,5,0.75,10
"12470",1,2.58076884182,2,0,0,3,1,1,0.86,0
"12471",1,1.41128486953,2,10,10,1,1,1,1.25,9
"12472",1,1.99027585151,2,10,9,3,1,1,0.63,8
"12473",1,2.53447169193,2,9,8,2,1,1,0.93,7
"12474",1,1.92731478686,2,10,9,1,1,1,0.99,9
"12475",1,1.39929093926,2,10,10,3,1,1,2.03,9
"12476",1,1.99815348274,2,10,10,2,1,1,0.86,10
"12477",1,2.14081382501,2,10,10,1,1,1,0.49,10
"12478",1,2.00103530485,2,0,0,2,1,1,0,0
"12479",1,2.23016979199,2,10,10,2,1,1,4.54,9
"12480",1,2.68801605392,2,0,0,4,1,1,0,0
"12481",1,2.8771291481,2,10,9,1,1,1,5.59,9
"12482",2,2.01856744758,3,10,10,1,1,2,1,10
"12483",2,2.91270361984,4,10,9,3,1.5,2,0.18,9
"12484",3,1.99469394272,4,10,10,2,1,4,0.34,10
"12485",0,1.96017128862,2,9,9,1,1,1,0.5,9
"12486",3,1.43683606905,6,10,10,3,1,6,0.69,9
"12487",1,3.15527053086,2,0,0,1,1,1,0,0
"12488",1,2.73866935928,1,10,9,3,1,1,2.12,9
"12489",1,1.89212754696,2,10,10,3,1,1,4,9
"12490",1,2.29671934108,2,0,0,1,1,1,0,0
"12491",1,2.32894895311,2,10,10,3,1,1,0.2,10
"12492",1,1.95097154681,1,10,9,1,1,1,0.45,10
"12493",0,2.31007952991,4,0,0,1,1,2,0,0
"12494",2,2.34144231131,4,10,10,1,1,3,1.42,9
"12495",1,2.19631490855,4,9,9,1,1,3,2.69,9
"12496",2,1.37352729875,4,10,10,1,2,5,1.14,9
"12497",4,2.1478132,4,10,9,3,1,4,0.84,9
"12498",2,1.7229790176,4,10,10,1,1,2,2,10
"12499",2,2.98036222907,4,10,9,3,1,2,1.34,9
"12500",2,2.75731627741,4,10,9,4,1,2,0.41,10
"12501",0,1.26899206235,2,10,9,3,1,1,1.04,9
"12502",2,2.12305913743,2,10,9,3,1,2,0.23,9
"12503",2,2.31061318723,4,9,9,1,1,2,2.07,9
"12504",2,2.39872870339,4,10,10,1,1,4,1.58,10
"12505",1,3.16123055688,2,8,9,3,1,1,0.23,7
"12506",1,2.28887302696,2,10,10,4,1,1,0.48,9
"12507",1,2.13296203677,2,9,9,3,1,1,1.22,8
"12508",2,2.69320741527,2,10,9,3,1,1,0.62,9
"12509",1,1.47235038587,1,10,10,1,1,1,5.62,10
"12510",2,2.22873929199,3,0,0,4,1,3,0,0
"12511",1,2.86550286503,2,8,6,2,1,1,0.16,6
"12512",1,2.22429551127,4,0,0,3,1,1,0.03,0
"12513",1,2.90767505353,2,7,7,1,1,1,0.83,9
"12514",2,2.97325556778,4,10,9,1,1,3,0.48,9
"12515",1,2.61954188919,1,0,0,4,1,1,0,0
"12516",1,1.89500783273,2,10,10,4,1,1,0.31,10
"12517",2,2.27679296532,3,10,10,3,1,2,1,10
"12518",2,2.19814161714,4,0,0,4,2,4,0,0
"12519",2,1.4407774422,4,10,10,1,1,2,3,10
"12520",2,1.31758293728,4,10,9,1,1,3,0.71,8
"12521",1,1.43057706474,2,10,9,3,1,1,1,7
"12522",3,2.1061981328,4,0,0,2,2,3,0,0
"12523",2,2.64200860229,4,10,10,3,1,2,0.13,10
"12524",1,1.88622185348,1,9,10,1,1,1,0.95,9
"12525",1,2.41524402264,2,0,0,1,1,1,0,0
"12526",1,2.44895032851,3,9,9,4,1,1,0.39,9
"12527",1,2.88634566737,2,10,10,1,1,1,0.81,10
"12528",3,2.39321929652,4,10,10,2,1,4,1.11,10
"12529",4,1.31241844219,8,10,10,1,2,7,1.12,9
"12530",1,2.15464181153,2,0,0,4,1,1,0,0
