"","bedrooms","distance_to_dam","accommodates","review_scores_communication","review_scores_location","host_response_time","bathrooms","beds","reviews_per_month","review_scores_value"
"7651",1,1.75173479055,2,10,10,1,1,1,5.03,9
"7652",1,3.71898976814,4,10,9,2,2,3,1.4,9
"7653",1,2.86703624896,2,10,9,1,1,1,0.77,9
"7654",1,3.35006353489,4,9,9,2,1,4,1.97,9
"7655",2,1.820778929,4,0,0,4,1.5,2,0,0
"7656",1,2.340912002,2,10,10,4,1,1,2.28,9
"7657",1,2.66885573908,2,0,0,1,1,1,0,0
"7658",1,2.99657135359,2,10,9,2,1,1,1,9
"7659",2,1.7650264642,4,8,10,3,1,3,3.62,8
"7660",2,1.95237945108,2,10,9,1,1,2,0.53,9
"7661",2,2.26866190772,4,9,10,3,1,1,0.2,10
"7662",1,3.75180596251,3,10,9,2,1,2,4.65,9
"7663",3,3.11731861004,4,0,0,4,1,5,0,0
"7664",1,3.50540686952,2,9,9,2,1,1,0.69,8
"7665",1,2.63522015065,2,10,10,1,1,1,0.46,10
"7666",1,1.71964695688,2,10,10,3,1,1,1.17,10
"7667",1,2.25343039592,4,10,9,3,1,1,2.31,9
"7668",1,2.11912718121,2,0,0,4,1,1,0.09,0
"7669",4,3.41453729814,4,9,9,2,2,6,0.16,9
"7670",1,2.16060948223,2,10,10,2,1,1,0.23,9
"7671",1,1.96996765304,2,10,9,4,1,1,0.38,8
"7672",2,2.09707668958,4,10,10,1,1,2,0.67,9
"7673",1,2.59565696001,2,10,9,2,1,2,1.6,9
"7674",2,2.83730380172,4,0,0,2,2,2,0,0
"7675",1,1.90254864058,4,8,10,1,1.5,3,1,8
"7676",1,3.70603214715,2,0,0,1,1,1,0,0
"7677",1,1.83096208146,2,0,0,4,1,1,0,0
"7678",1,3.44096255319,7,10,9,1,1,8,0.53,9
"7679",1,3.72000024733,3,10,10,1,1,2,0.11,9
"7680",1,2.24968277234,2,10,10,3,1,1,0.63,9
"7681",4,3.65196046664,7,10,10,1,2.5,5,1,10
"7682",1,2.17998681351,2,10,10,1,1,1,1.2,10
"7683",1,1.67040937729,2,9,10,3,1,1,1.65,9
"7684",1,3.47600862935,2,10,9,3,1,1,0.39,9
"7685",1,1.89927587823,2,9,9,1,1,1,0.49,9
"7686",2,2.26224597072,6,10,9,1,1,3,7.72,10
"7687",1,1.95514155171,3,10,10,4,1,1,0.51,10
"7688",1,2.11672129124,4,10,10,1,1,2,3.35,9
"7689",3,2.9740456488,6,10,10,2,1,6,0.35,10
"7690",2,1.75760654603,4,8,9,1,1,2,0.93,7
"7691",2,3.25626900476,4,0,0,4,1,4,0,0
"7692",1,2.5289350479,2,0,0,2,1,1,0,0
"7693",1,2.63429791866,2,0,0,4,1,1,0,0
"7694",1,3.3052033043,2,0,0,3,1.5,2,0,0
"7695",1,3.08881138552,2,10,8,2,1,1,1,9
"7696",1,2.64822936778,3,10,9,2,1,3,5.97,9
"7697",1,2.68294951493,4,0,0,2,1,2,0,0
"7698",1,2.02190829289,2,10,10,1,1,1,1,10
"7699",1,3.6915397165,2,10,9,2,1,1,1.64,9
"7700",1,2.24527823959,2,10,10,3,1,1,0.87,9
"7701",1,2.86034521698,2,10,10,2,1,1,3.31,10
"7702",1,2.35321799742,2,10,10,4,1,1,0.46,8
"7703",2,2.3847302882,4,10,10,2,2.5,2,2.37,9
"7704",1,3.48793245796,1,10,9,1,1,1,3,9
"7705",5,3.50763210616,10,0,0,4,2,5,0,0
"7706",1,3.65931381148,2,0,0,4,1,1,0,0
"7707",1,1.9976834506,2,10,8,3,1,1,0.61,8
"7708",2,1.94083262168,4,9,10,1,1.5,2,4.05,8
"7709",1,3.2482121877,2,8,10,2,1,1,0.39,6
"7710",1,1.7879012,4,9,9,2,1,4,0.37,9
"7711",1,2.36967073133,4,9,9,1,1,2,3.3,8
