bathrooms,accommodates,distance_to_dam,beds,reviews_per_month,bedrooms,review_scores_cleanliness,review_scores_checkin,guests_included,review_scores_communication
1.0,4,2.26050162226,2.0,0.82,2.0,9.0,10.0,2,10.0
1.0,2,2.33492507181,1.0,0.16,2.0,10.0,10.0,2,10.0
1.0,4,2.22429551127,1.0,0.03,1.0,0.0,0.0,1,0.0
1.0,2,5.27957250491,1.0,2.9,1.0,9.0,10.0,1,10.0
1.0,2,3.96478753462,1.0,0.53,1.0,10.0,10.0,1,10.0
1.0,2,2.2382227077,1.0,0.65,1.0,10.0,10.0,1,10.0
1.0,4,2.01210768283,3.0,1.23,2.0,10.0,10.0,2,10.0
1.0,2,1.05649686632,1.0,4.09,1.0,10.0,10.0,0,10.0
1.0,2,1.07677987969,1.0,2.95,0.0,10.0,9.0,1,9.0
1.0,4,2.15842091886,2.0,2.0,2.0,10.0,9.0,2,10.0
1.0,3,3.33100360707,1.0,1.9,1.0,9.0,10.0,2,10.0
1.0,2,3.68578285575,1.0,0.77,1.0,9.0,10.0,1,10.0
1.0,2,2.51015384662,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,3,1.09015469637,2.0,3.09,1.0,6.0,9.0,2,9.0
1.0,2,2.51886490135,1.0,0.16,1.0,10.0,9.0,1,9.0
1.0,2,1.62613055027,1.0,4.05,1.0,10.0,10.0,1,10.0
2.0,2,4.59621764313,1.0,1.0,1.0,10.0,10.0,1,10.0
1.5,2,2.24617621751,2.0,0.0,1.0,0.0,0.0,1,0.0
1.0,3,2.50292052143,2.0,0.71,2.0,9.0,10.0,1,9.0
1.0,4,1.1523811247,2.0,0.59,2.0,10.0,10.0,2,10.0
1.0,3,2.18520128124,3.0,1.0,2.0,10.0,10.0,1,10.0
1.0,2,2.62911642396,1.0,1.49,1.0,10.0,10.0,2,10.0
1.0,2,2.41703804192,1.0,0.24,2.0,10.0,10.0,1,10.0
2.0,1,2.86901532937,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,4,1.46460908893,4.0,0.18,2.0,10.0,9.0,1,10.0
1.0,3,3.04704569136,2.0,0.0,0.0,0.0,0.0,1,0.0
1.0,2,3.22032826866,1.0,0.0,1.0,0.0,0.0,1,0.0
