bathrooms,accommodates,distance_to_dam,beds,reviews_per_month,bedrooms,review_scores_cleanliness,review_scores_checkin,guests_included,review_scores_communication
1.5,2,1.67010144407,1.0,1.32,1.0,10.0,10.0,1,10.0
1.0,4,3.61238149184,2.0,0.0,2.0,0.0,0.0,2,0.0
1.0,2,2.51152469149,1.0,2.67,1.0,9.0,8.0,1,10.0
1.0,2,1.55416125607,1.0,0.66,1.0,9.0,10.0,1,10.0
1.0,2,2.36605104107,1.0,1.07,1.0,10.0,10.0,0,10.0
1.0,2,1.89841277663,1.0,2.94,1.0,9.0,10.0,1,10.0
1.5,2,1.53822108905,1.0,0.97,1.0,10.0,9.0,2,10.0
1.0,4,1.95355235963,4.0,0.23,2.0,9.0,9.0,2,10.0
1.0,2,3.81257512886,1.0,0.76,1.0,10.0,10.0,1,8.0
1.0,4,1.13384139969,4.0,0.39,2.0,9.0,10.0,1,10.0
1.0,4,3.99841220251,4.0,1.93,2.0,10.0,10.0,1,10.0
1.0,2,1.58925496671,2.0,1.46,1.0,10.0,10.0,1,10.0
1.0,2,1.34515348729,1.0,1.45,1.0,10.0,10.0,2,10.0
1.0,2,1.99784107946,1.0,2.96,1.0,9.0,10.0,1,10.0
1.5,2,3.04696169211,1.0,0.27,1.0,8.0,9.0,1,9.0
1.0,2,3.35302302637,1.0,1.78,1.0,9.0,10.0,2,10.0
1.0,1,2.61630581453,1.0,0.27,1.0,8.0,9.0,2,9.0
1.0,2,2.01876376986,1.0,0.18,1.0,9.0,10.0,2,9.0
1.0,2,2.77216363872,1.0,4.05,1.0,10.0,7.0,1,10.0
1.0,2,3.03095576693,1.0,0.64,1.0,10.0,9.0,1,9.0
2.0,2,3.37601753317,1.0,0.26,1.0,10.0,10.0,1,10.0
1.0,2,1.99121163216,3.0,0.4,3.0,10.0,10.0,2,10.0
1.0,2,1.73559113653,1.0,3.0,0.0,10.0,10.0,1,10.0
1.0,2,2.89016828045,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,3.80276018495,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,4,2.30985644329,2.0,1.36,1.0,9.0,10.0,2,10.0
1.0,2,4.06326320168,1.0,0.31,1.0,10.0,10.0,1,10.0
2.0,2,3.28198711191,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,1.1408482786,2.0,2.13,1.0,7.0,9.0,1,9.0
1.0,2,2.9045410047,0.0,0.52,1.0,8.0,8.0,1,8.0
1.0,4,1.43382581496,2.0,1.0,2.0,0.0,0.0,4,0.0
1.0,2,2.27572920509,1.0,0.05,1.0,8.0,10.0,1,9.0
1.0,3,2.01060666565,2.0,0.45,0.0,9.0,10.0,1,10.0
